ID;Produit;Annonceur;Pubs correspondantes;
50;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;1369, 1435, 1500;
51;3615 Joystick;Joystick;1524, 1526, 1527, 1529, 1532, 1533, 1535, 1537, 1538, 1545, 1604, 1655, 1678, 1706, 1734, 1761, 1765, 1778, 1834, 1866, 1869, 1876, 1880, 1884, 2126, 2139, 2143, 2144, 2146, 2175, 2178, 2181, 2188, 2189, 2191, 2193, 2195, 2197;
52;Listing (jeux, matériel, magasin) Video Games;Video Games;1498, 1576, 1674, 1842, 1953, 2032, 2097, 2179, 2267;
53;3615 Joystick;Joystick;1577, 1580, 1582;
54;Obitus;Psygnosis;1062, 1198, 1620, 1762, 1918;
55;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;1570, 1648;
56;Émission télé, magasin;Micromania;1636, 1571, 1737;
57;Listing (jeux, matériel, magasin) Soft-Busters;Soft-Busters;1659, 1749, 1841;
58;Listing (jeux, matériel, magasin) Arkadoḯd;Arkadoḯd;1654, 1750;
59;Listing (jeux, matériel, magasin) Séquence News;Séquence News;1658, 1757, 1839, 1958, 2030;
60;Shadow of the beast II;Psygnosis;819, 1618, 1760;
61;Top Interdiscount;Interdiscount;1786, 1914, 1988, 2057, 2123, 2211, 2300, 2374, 2437, 2500, 2578, 2637, 2732, 2778, 2813, 2912, 3015;
62;Listing (club, jeux, matériel, magasin) Compustore Games;Compustore Games;1708, 1808, 1966;
63;Magasins Micromania;Micromania;1481, 1497, 1512, 1562, 1571, 1581, 1606, 1728, 1737, 1824, 1835, 1854, 1893, 1904, 1909, 1932, 1945, 1965, 1983, 1997, 2015, 2016, 2038, 2039, 2040, 2042, 2044, 2050, 2053, 2059, 2076, 2080, 2081, 2095, 2118, 2147, 2148, 2164, 2186, 2192, 2196, 2215, 2220, 2235, 2248, 2251, 2268, 2279, 2281, 2283, 2284;
64;Listing (jeux, matériel, magasin) Calculs Actuels;Calculs Actuels;1738, 1846;
65;Listing (jeux, matériel, magasin) Funware;Funware;1729, 1855, 1960, 2029, 2096, 2257, 2336, 2406, 2468, 2530, 2603, 2687, 2756, 2788, 2883, 3001, 3023, 3120, 3235, 3289, 3303, 3394, 3460;
66;Listing (club, jeux, matériel, magasin) Coconut;Coconut Informatique;1605, 1695, 1797, 1921;
67;Listing (club, jeux, matériel, magasin) Shoot Again;Shoot Again;1838, 1954;
68;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;1853, 1961, 2026, 2101, 2177, 2247;
69;Listing (jeux, matériel, magasin) Numeral Plus;Numeral Plus;1852, 1964, 2027, 2102, 2161, 2258;
70;Listing (jeux, matériel, magasin) Zipp-Kid;Zipp-Kid;2007, 2068, 2133, 2223, 2302, 2361, 2460;
71;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;2004, 2074, 2150, 2226, 2305, 2355;
72;Listing (jeux, matériel, magasin) Trybridge;Trybridge LTD;2018, 2085, 2159, 2240, 2319, 2384, 2464;
73;Club 25;Logiciels Service;1722, 1830, 1947, 2092, 2237, 2381;
74;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;2025, 2094, 2174, 2269;
75;Listing (jeux, matériel, magasin) Plenty;Plenty;2095, 2171;
76;Listing (jeux, matériel, magasin) EDA;EDA Informatique;2086, 2183, 2255, 2326, 2390;
77;Listing (jeux, matériel, magasin) Base 4;Base 4;2153, 2236;
78;3615 Joystick;Joystick;2309, 2311, 2312, 2314;
79;Magasins Micromania;Micromania;2298, 2301, 2316, 2321, 2343, 2364, 2365, 2394, 2415, 2428, 2568, 2569, 2570, 2653, 2654, 2655, 2656, 2658, 2691;
80;Listing (jeux, matériel, magasin) Euro Loisirs;Euro Loisirs;2249, 2323;
81;Listing (jeux, matériel, magasin) Microgame;Microgame;1742, 1850, 2093, 2173, 2334, 2375;
82;Listing (jeux, matériel, magasin) Evry Games;Evry Games;2009, 2079, 2154, 2234, 2308, 2378;
83;Listing (jeux, matériel, magasin) Jessico;Jessico;2318, 2380, 2466, 2525, 2591, 2677;
84;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;2324, 2405, 2529, 2606;
85;Listing (jeux, matériel, magasin) Numeral Plus;Numeral Plus;2333, 2410;
86;Listing (jeux, matériel, magasin) Micromania;Micromania;2449, 2450, 2452, 2502, 2503, 2505, 2719, 2762, 2826, 2901, 3018, 3099, 3226, 3265, 3302, 3371, 3419, 3480, 3535, 3591, 3619, 3670, 3707, 3758, 3801;
87;Listing (jeux, matériel, magasin) E.D.I.;E.D.I.;2383, 2462;à chercker
88;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;2385, 2463, 2526;
89;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;2444, 2494;
90;3615 Joystick;Joystick;2199, 2509, 2512, 2514, 2535, 2541, 2547, 2550, 2562, 2564, 2565, 2566, 2611, 2714, 2758, 2793, 2803, 2827, 2829, 2897, 3016, 3025, 3119, 3239;
91;Listing (jeux, matériel, magasin) Surcouf;Surcouf;2517, 2518, 2519, 2520, 2668, 2669;
92;Listing (jeux, matériel, magasin) Evry Games;Evry Games;2473, 2531, 2597, 2680, 2753, 2790, 2832;
93;Listing (jeux, matériel, magasin) GNI;GNI;2470, 2532;
94;Top Micromania;Micromania;2659, 2660, 2661, 2662, 2720, 2721, 2722, 2723, 2763, 2764;
95;Magasins Micromania;Micromania;2663, 2664, 2724, 2735, 2766;
96;Listing (jeux, matériel, magasin) Titania;Titania Informatique;2596, 2684;
97;Magasin FNAC Micro;FNAC;2703, 2706, 2707;
98;3615 Joystick;Joystick;2612, 2618, 2678, 2681, 2683, 2755;
99;Listing (jeux, matériel, magasin) J.B.G. Electronics;J.B.G. Electronics;2670, 2770;
100;Listing jeux, logiciels domaine public;IFA;2769, 2814, 2996, 3081, 3210;
101;Listing jeux, logiciels MCCR Boutique;MCCR Boutique;2768, 2815, 2909, 3080, 3208, 3253, 3271, 3509, 3558;
102;3615 Joystick;Joystick;2833, 2834, 2835, 2836, 2837, 2838, 2839, 2840, 2841, 2842, 2843, 2844, 2845, 2846, 2847, 2848, 2849, 2850, 2851, 2852, 2853, 2854, 2855 2856 2857 2858, 2859, 2860, 2861, 2862, 2863, 2864, 2865, 2866, 2867, 2868, 2869, 2870, 2871, 2872, 2873, 2874, 2875, 2876, 2877, 2878, 2879, 2880, 2881, 2922, 2923, 2924, 2925, 2926, 2927, 2928, 2929, 2930, 2931, 2932, 2933, 2934, 2935, 2936, 2937, 2938, 2939, 2940, 2941, 2942, 2943, 2944, 2945, 2946, 2947, 2948, 2949, 2950, 2951, 2952, 2953, 2954, 2955, 2956, 2957, 2958, 2959, 2960, 2961, 2962, 2963, 2964, 2965, 2966, 2967, 2968, 2969, 2970, 2971, 2972, 2973, 2974, 2975, 2976, 2977, 2978, 2979, 2980, 2981, 2982, 2983, 2984, 2985, 2986, 2987, 2988, 2989, 2990, 2991, 2992, 2993, 2994, 2995, 3026, 3027, 2028, 3029, 3030, 3031, 3032, 3033, 3034, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3042, 3043, 3044, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3052, 3053, 3054, 3055, 3056, 3057, 3058, 3059, 3060, 3061, 3062, 3063, 3064, 3065, 3066, 3067, 3068, 3069, 3070, 3071, 3072, 3073, 3074, 3075, 3122, 3123, 3124, 3125, 3126, 3127, 3128, 3129, 3130, 3131, 3132, 3133, 3134, 3135, 3136, 3137, 3138, 3139, 3140, 3141, 3142, 3143, 3144, 3145, 3146, 3147, 3148, 3149, 3150, 3151, 3152, 3153, 3154, 3155, 3156, 3157, 3158, 3159, 3160, 3161, 3162, 3163, 3164, 3165, 3166, 3167, 3168, 3169, 3170, 3171, 3172, 3173, 3174, 3175, 3176, 3177, 3178, 3179, 3180, 3181, 3182, 3183, 3184, 3185, 3186, 3187, 3188, 3189, 3190, 3191, 3192, 3193, 3194, 3195, 3196, 3197, 3198, 3199, 3200, 3201, 3202, 3203, 3204, 3205, 3206, 3207, 3313, 3314, 3315, 3316, 3317, 3318, 3319, 3320, 3321, 3322, 3323, 3324, 3325, 3326, 3327, 3328, 3329, 3330, 3331, 3332;
103;Magasin CoPysolde;CoPyMaster;2828, 3007, 3098;
105;Boutique Joy;Joystick;3002, 3085;
106;Listing jeux, logiciel Floppy International;Floppy International;3021, 3213;
107;Listing jeux Premier Mail Order;Premier Mail Order;3090, 3217, 3241, 3287, 3307, 3393, 3499, 3517, 3547, 3603, 3632, 3633, 3687, 3735, 3763, 3818, 3851, 3909, 4003, 4052, 4088, 4120;
108;Listing jeux, logiciel Floppy International;Floppy International;3242, 3272, 3336, 3338, 3348;
109;Listing jeux, logiciels;IFA;3249, 3281, 3349, 3387;
110;Abonnement Joystick;Joystick;3267, 3299;
111;Listing (jeux, matériel, magasin) Century Soft;Century Soft;3276, 3311, 3386, 3421, 3510, 3544, 3605, 3649, 3716, 3766, 3808, 3861, 3930, 3964, 4038, 4073, 4112, 4163, 4202;
112;Listing (jeux, matériel, magasin, club) Futur Vision;Futur Vision Informatique;3277, 3346, 3405, 3470;
113;Listing (jeux, matériel, magasin) Cash and Carry Micro;Cash and Carry Micro;3295, 3400, 3456, 3518;
114;Listing (logiciel, matériel, magasin)  MAD;MAD;3335, 3403, 3469, 3502;
115;Listing (jeux, matériel, magasin) Microfolie’s;Microfolie’s;3367, 3417, 3492;
